id,loan_amnt_USD,loan_amnt_eur,funded_amnt_USD,funded_amnt_eur,int_rate,installment_USD,installment_eur,total_pymnt_USD,total_pymnt_eur,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,9038.082813968987,1000.0,908.3500315546721,0.18,360.0,327.00601135968196,1072.0,973.7512338266085,1.100897193,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10900.200378656065,12000.0,10900.200378656065,0.2,324.0,294.3054102237138,959.0,871.1076802609306,1.100897193,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8924.29980450188,10000.0,8924.29980450188,0.13,340.0,303.42619335306387,3726.0,3325.1941071574,1.120536089,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,24707.120858287082,27200.0,24707.120858287082,0.28,553.0,502.3175674497337,41913.0,38071.674872550975,1.100897193,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10526.076488892675,11400.0,10526.076488892675,0.28,376.0,347.1758561248812,3753.0,3465.2951809486144,1.083024621,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13496.099957766655,15000.0,13496.099957766655,0.15,361.0,324.80613898358416,2880.0,2591.251191891198,1.111432195,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9717.191969591991,10800.0,9717.191969591991,0.28,328.0,295.1147190764975,2950.0,2654.232991694109,1.111432195,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,15946.200990585978,18000.0,15946.200990585978,0.28,370.0,327.7830203620451,4432.0,3926.3090439042808,1.128795505,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9236.650297659444,1000.0,892.4299804501878,0.22,291.0,259.6971243110047,1432.0,1277.9597320046691,1.120536089,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6247.009863151316,7000.0,6247.009863151316,0.28,233.0,207.93618544489377,7300.0,6514.738857286372,1.120536089,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,22253.47379198501,24975.0,22253.47379198501,0.28,549.0,489.1754599319227,3831.0,3413.5358597435265,1.122296691,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,10709.159765402255,12000.0,10709.159765402255,0.28,275.0,245.41824462380166,2799.0,2497.911515280076,1.120536089,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,10709.159765402255,12000.0,10709.159765402255,0.13,279.0,248.9879645456024,2846.0,2539.855724361235,1.120536089,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,18603.90115568364,21000.0,18603.90115568364,0.28,471.0,417.25892592033307,5155.0,4566.814783692817,1.128795505,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,18894.539940873317,21000.0,18894.539940873317,0.28,687.0,618.1213780657129,41913.0,37710.80250199159,1.111432195,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,29067.201009749508,32000.0,29067.201009749508,0.28,1005.0,912.8917817124455,3089.0,2805.8932474723824,1.100897193,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,19046.851183199917,21500.0,19046.851183199917,0.28,482.0,427.0038265256912,23855.0,21133.145812801584,1.128795505,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,13850.100643279835,15000.0,13850.100643279835,0.13,348.0,321.32233492409216,41913.0,38699.951217452515,1.083024621,3.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,18247.600333123446,20000.0,18247.600333123446,0.13,677.0,617.6812712762287,21119.0,19268.553571761702,1.096034527,5.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,24057.809504848658,27000.0,24057.809504848658,0.28,586.0,522.143569253382,4075.0,3630.9471752688255,1.122296691,6.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,24988.039452605262,28000.0,24988.039452605262,0.28,863.0,770.1670731285121,9472.0,8453.09677482418,1.120536089,2.0,1.0,36.0,4.0,0.0,3.0
22403153.0,11200.0,9995.215781042105,11200.0,9995.215781042105,0.28,373.0,332.8763827079201,1113.0,993.2745682410591,1.120536089,2.0,0.0,36.0,11.0,0.0,3.0
25276117.0,28000.0,24805.201540911523,1000.0,885.9000550325543,0.28,587.0,520.0233323041094,7040.0,6236.736387429182,1.128795505,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,31235.049315756576,35000.0,31235.049315756576,0.28,790.0,705.0196845556484,8674.0,7740.937650424929,1.120536089,2.0,1.0,60.0,12.0,1.0,1.0
31888135.0,4950.0,4677.304689395947,4950.0,4677.304689395947,0.19,183.0,172.91853700191078,178.0,168.19398681060173,1.058301806,11.0,1.0,36.0,24.0,1.0,2.0
34462110.0,14400.0,12850.991718482706,14400.0,12850.991718482706,0.28,480.0,428.3663906160902,5280.0,4712.030296776992,1.120536089,2.0,1.0,36.0,11.0,1.0,3.0
34883768.0,10300.0,9124.77056683531,10300.0,9124.77056683531,0.28,320.0,283.4880176104174,3839.0,3400.9703112699763,1.128795505,1.0,1.0,36.0,4.0,0.0,4.0
35683282.0,22400.0,19844.161232729217,22400.0,19844.161232729217,0.28,686.0,607.7274377523323,8221.0,7282.984352422629,1.128795505,1.0,1.0,36.0,2.0,1.0,0.0
36169417.0,24000.0,21261.601320781305,24000.0,21261.601320781305,0.15,578.0,512.0502318088164,6899.0,6111.824479669593,1.128795505,1.0,1.0,60.0,16.0,1.0,0.0
